generator,copyright,minlat,minlon,maxlat,maxlon,id,visible,version2,timestamp,uid,lat,lon
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637367,TRUE,2,2022-11-16T19:24:58Z,34927,52.1281915,8.4188956
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637369,TRUE,2,2022-11-16T19:24:58Z,34927,52.1283395,8.4190958
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637370,TRUE,4,2021-08-09T16:13:23Z,879327,52.1284789,8.4195289
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637372,TRUE,4,2021-08-09T16:13:23Z,879327,52.1285971,8.4198426
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637373,TRUE,2,2021-08-09T16:13:23Z,879327,52.1292705,8.4210633
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637375,TRUE,2,2022-11-16T19:24:58Z,34927,52.1298326,8.4202302
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637376,TRUE,2,2022-11-16T19:24:58Z,34927,52.1286315,8.4175937
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637379,TRUE,1,2008-11-03T11:26:38Z,55858,52.127515,8.4141247
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637380,TRUE,2,2022-11-16T19:24:58Z,34927,52.1276413,8.4146128
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637381,TRUE,2,2022-11-16T19:24:58Z,34927,52.127363,8.4138267
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637383,TRUE,3,2022-11-16T19:24:58Z,34927,52.1262645,8.4123468
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637386,TRUE,5,2022-11-16T19:24:58Z,34927,52.127109,8.4129034
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637398,TRUE,4,2015-02-09T11:59:59Z,189689,52.1247636,8.4145917
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637399,TRUE,4,2021-08-09T16:13:23Z,879327,52.1254353,8.4057321
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637711,TRUE,5,2022-11-16T19:24:58Z,34927,52.125435,8.412061
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637713,TRUE,3,2022-11-16T19:24:58Z,34927,52.1365505,8.4338156
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637715,TRUE,3,2022-11-16T19:24:58Z,34927,52.1364753,8.4330019
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637795,TRUE,2,2015-02-10T07:39:34Z,189689,52.1363787,8.4319357
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309639332,TRUE,3,2015-02-10T07:55:28Z,189689,52.1362695,8.4310299
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309639341,TRUE,3,2022-11-16T19:28:33Z,34927,52.1361352,8.430347
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,380570522,TRUE,2,2019-11-26T20:18:48Z,107703,52.1359666,8.4297708
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,380570523,TRUE,2,2022-11-18T16:36:08Z,34927,52.1356464,8.4288611
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,380570526,TRUE,2,2019-11-26T20:18:48Z,107703,52.1353646,8.4280857
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,380570531,TRUE,2,2021-08-02T21:42:34Z,107703,52.1352223,8.4274248
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,380570534,TRUE,2,2021-08-02T21:42:34Z,107703,52.1351499,8.4266773
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,380570536,TRUE,2,2021-08-02T21:42:34Z,107703,52.1350608,8.4259847
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,380570538,TRUE,2,2021-08-02T21:42:34Z,107703,52.1349591,8.4256148
